college_name,state,stream,ug_fee,pg_fee,rating,academic,accommodation,faculty,infrastructure,placement,social_life,institute_canonical,match_type,needs_manual_review
Indian Institute of Technology Madras,Tamil Nadu,Engineering,"75,116","23,070",8.7,9,7.9,8.7,8.8,8.8,9,IIT Madras,EXACT,False
"College of Engineering, Anna University",Tamil Nadu,Engineering,"50,000","50,000",8.4,8.7,7.7,8.1,8.7,8.3,8.7,"College of Engineering, Anna University",EXACT,False
"NIT Trichy, Tiruchirappalli",Tamil Nadu,Engineering,"1,49,250","99,250",8.5,8.6,7.8,8.2,8.7,8.8,8.7,"NIT Trichy, Tiruchirappalli",EXACT,False
Vellore Institute of Technology,Tamil Nadu,Engineering,"1,98,000","1,83,000",8.3,8.3,8,7.8,8.9,8.5,8.5,Vellore Institute of Technology,EXACT,False
"SRM Engineering College, Kanchipuram",Tamil Nadu,Engineering,"2,60,000","1,70,000",7.2,6.5,6.6,6.9,7.6,7.1,8.3,"SRM Engineering College, Kanchipuram",EXACT,False
SSN College of Engineering,Tamil Nadu,Engineering,"50,000","50,000",8.6,8.9,7.6,8.7,9.1,8.3,8.8,SSN College of Engineering,EXACT,False
"SASTRA University, Thanjavur",Tamil Nadu,Engineering,"1,67,000","1,57,000",8.1,8.5,7,8.2,8.3,8.7,8.1,"SASTRA University, Thanjavur",EXACT,False
P.S.G College of Technology,Tamil Nadu,Engineering,"87,000","1,54,000",9,9.2,8.7,8.9,9,9.1,8.8,P.S.G College of Technology,EXACT,False
Thiagarajar College of Engineering,Tamil Nadu,Engineering,"50,000","50,000",8.6,8.9,7.9,8.6,8.6,8.7,8.6,Thiagarajar College of Engineering,EXACT,False
Coimbatore Institute of Technology,Tamil Nadu,Engineering,"23,670","1,32,710",8,8.5,6.8,8.2,7.4,8.4,8.5,Coimbatore Institute of Technology,EXACT,False
Karunya Institute of Technology and Sciences,Tamil Nadu,Engineering,"2,13,500","1,21,500",7.9,7.9,7.9,7.9,8.5,7.5,7.4,Karunya Institute of Technology and Sciences,EXACT,False
Kumaraguru College of Technology,Tamil Nadu,Engineering,"50,000","50,000",8.2,8.3,7.6,8,8.8,7.9,8.5,Kumaraguru College of Technology,EXACT,False
"VEL Tech, Chennai",Tamil Nadu,Engineering,"50,000",--,8.2,8.5,8.5,8.1,7.8,8.3,8.1,"VEL Tech, Chennai",EXACT,False
"Mepco Schlenk Engineering College, Sivakasi",Tamil Nadu,Engineering,"1,34,000","1,04,150",8.1,8.5,8.1,8.3,8.6,7.9,7,Mepco Schlenk Engineering College,EXACT,False
Government College of Technology,Tamil Nadu,Engineering,"9,180","10,110",8.1,8.4,7.1,8.3,8,8,8.8,Government College of Technology,EXACT,False
Hindustan Institute of Technology and Science,Tamil Nadu,Engineering,"2,29,500","1,25,500",7.6,7.8,6.9,7.8,7.9,6.9,8,Hindustan Institute of Technology and Science,EXACT,False
Sri Krishna College of Engineering and Technology,Tamil Nadu,Engineering,"50,000","50,000",8.1,8.2,7.4,8.2,9,8.2,7.7,Sri Krishna College of Engineering and Technology,EXACT,False
Kongu Engineering College,Tamil Nadu,Engineering,"60,000","65,000",8.3,8.3,7.7,8.3,8.9,8.3,8.3,Kongu Engineering College,EXACT,False
Bannari Amman Institute of Technology,Tamil Nadu,Engineering,"60,000","35,000",8.3,8.2,8.1,8,9.1,8.1,8.2,Bannari Amman Institute of Technology,EXACT,False
"Sona College of Technology, Salem",Tamil Nadu,Engineering,"2,00,000","2,29,000",8.1,8.5,7.3,8.3,8.3,7.9,8.5,"Sona College of Technology, Salem",EXACT,False
Tamil Nadu Veterinary and Animal Sciences University,Tamil Nadu,Engineering,"21,415","33,325",8.3,8.4,8,8.4,8.2,8.2,8.4,Tamil Nadu Veterinary and Animal Sciences University,EXACT,False
"St. Joseph College Of Engineering, Kanchipuram",Tamil Nadu,Engineering,"60,000","65,000",8,7,--,--,9,8,--,St. Joseph College Of Engineering,EXACT,False
Saveetha Engineering College,Tamil Nadu,Engineering,"85,000","60,000",8,8.1,7.3,8.1,8.6,7.7,7.9,Saveetha Engineering College,EXACT,False
"Sri Sairam Engineering College, Chennai",Tamil Nadu,Engineering,"50,000","25,000",7.7,8.4,7.3,7.9,8.2,7.9,6.7,"Sri Sairam Engineering College, Chennai",EXACT,False
B.S. Abdur Rahman Crescent Institute of Science,Tamil Nadu,Engineering,"85,000","40,000",8.2,8.4,7.8,8.3,8.7,7.7,8.2,B.S. Abdur Rahman Crescent Institute of Science,EXACT,False
Sri Ramakrishna Engineering College,Tamil Nadu,Engineering,"55,000","60,000",8.1,8.4,7.7,8,8.3,8.3,8,Sri Ramakrishna Engineering College,EXACT,False
Rajalakshmi Engineering College,Tamil Nadu,Engineering,"50,000","50,000",7.8,8.1,6.3,8.1,8,8.3,7.7,Rajalakshmi Engineering College,EXACT,False
Sri Venkateswara College of Engineering,Tamil Nadu,Engineering,"65,000","60,000",8.2,8.4,7.4,8.4,8.6,8.1,8,Sri Venkateswara College of Engineering,EXACT,False
IIT Bombay,Maharashtra,Engineering,"2,28,000","32,000",8.9,9.3,7.9,8.7,8.9,9.1,9.2,IIT Bombay,EXACT,False
Institute of Chemical Technology,Maharashtra,Engineering,"85,350","70,750",8.7,9.1,8.1,8.9,8.7,8.4,9.1,Institute of Chemical Technology,EXACT,False
Visvesvaraya National Institute of Technology,Maharashtra,Engineering,"1,49,200","93,600",8.1,8.3,7.5,8,8.4,7.7,8.7,Visvesvaraya NIT,EXACT,False
College of Engineering,Maharashtra,Engineering,"40,500","64,500",8.6,8.7,8.2,8.1,8.5,8.7,9.1,College of Engineering,EXACT,False
Defence Institute of Advanced Technology,Maharashtra,Engineering,"1,53,600","45,000",8.8,9,8.6,8.8,9,8.6,8.6,Defence Institute of Advanced Technology,EXACT,False
National Institute of Industrial Engineering,Maharashtra,Engineering,"5,98,000","1,04,000",9,9,9,9,9,9.3,8.6,National Institute of Industrial Engineering,EXACT,False
Army Institute of Technology,Maharashtra,Engineering,"1,80,197","1,20,560",8.3,8,8.5,7.6,7.9,8.7,9,Army Institute of Technology,EXACT,False
Bharati Vidyapeeth Deemed University,Maharashtra,Engineering,"1,20,000","50,000",7.8,8.1,6.8,7.9,8.1,7.7,8.2,Bharati Vidyapeeth Deemed University,EXACT,False
Veermata Jijabai Technological Institute,Maharashtra,Engineering,"84,051","83,734",7.9,8.2,7.2,7.8,7.1,8.7,8.4,Veermata Jijabai Technological Institute,EXACT,False
GH Raisoni College of Engineering,Maharashtra,Engineering,"5,60,000","1,32,000",8.4,8.5,8,8.4,8.5,8,8.8,GH Raisoni College of Engineering,EXACT,False
Mukesh Patel School of Technology Management and,Maharashtra,Engineering,"4,52,000","5,01,500",8.2,8.1,8,7.8,8.7,8.1,8.3,Mukesh Patel School of Technology Management and,EXACT,False
Sardar Patel Institute of Technology,Maharashtra,Engineering,"1,70,000","1,68,000",8.1,8.4,6.9,7.9,8.3,9.1,8.1,Sardar Patel Institute of Technology,EXACT,False
Shri Ramdeobaba College of Engineering and Management,Maharashtra,Engineering,"1,45,000","1,25,000",8.1,8.3,7.6,8,7.9,8.3,8.2,Shri Ramdeobaba College of Engineering and Management,EXACT,False
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,Engineering,"33,600","60,000",7.5,8,7.2,7.7,7.9,6.9,7.4,Rashtrasant Tukadoji Maharaj Nagpur University,EXACT,False
Yeshwantrao Chavan College of Engineering,Maharashtra,Engineering,"1,51,801","1,53,328",7.6,7.7,7,7.6,8.2,7.2,7.6,Yeshwantrao Chavan College of Engineering,EXACT,False
Walchand College of Engineering,Maharashtra,Engineering,"84,935","96,550",8.3,8.4,7.3,8.3,8.4,8.8,8.4,Walchand College of Engineering,EXACT,False
MIT World Peace University,Maharashtra,Engineering,"3,10,000","1,90,000",8,8.1,7,8,8.5,7.7,8.4,MIT World Peace University,EXACT,False
Vishwakarma Institute of Information Technology,Maharashtra,Engineering,"1,64,000","78,000",7.8,8.2,6.8,8.1,7.4,8,8.1,Vishwakarma Institute of Information Technology,EXACT,False
Ramrao Adik Institute of Technology,Maharashtra,Engineering,"3,25,000","1,50,000",8.6,8.2,8,8.1,9,8.7,9.3,Ramrao Adik Institute of Technology,EXACT,False
Sardar Patel College of Engineering,Maharashtra,Engineering,"1,70,000","1,68,000",8,8.3,7.2,7.9,8,8.1,8.2,Sardar Patel College of Engineering,EXACT,False
K. J. Somaiya College of Engineering,Maharashtra,Engineering,"2,86,000","1,96,800",8.2,8.2,8,7.7,8.7,8,8.5,K. J. Somaiya College of Engineering,EXACT,False
Pimpri Chinchwad College of Engineering,Maharashtra,Engineering,"1,38,559","1,07,687",8.1,8.7,7.6,8.1,7.9,8.6,7.5,Pimpri Chinchwad College of Engineering,EXACT,False
"MKSSS's Cummins College of Engineering for Women,",Maharashtra,Engineering,"1,80,836","1,55,200",8.3,8.3,8,8.1,7.8,9,8.6,MKSSS's Cummins College of Engineering for Women,EXACT,False
Dwarkadas J Sanghvi College of Engineering,Maharashtra,Engineering,"1,94,000","1,39,000",8.2,8.2,7.7,8.2,8.4,8.3,8.2,Dwarkadas J Sanghvi College of Engineering,EXACT,False
Thakur College of Engineering and Technology,Maharashtra,Engineering,"1,47,500","1,36,931",8.2,8.1,8,7.9,9.1,7.9,8.4,Thakur College of Engineering and Technology,EXACT,False
SVKM's Narsee Monjee Institute of Management Studies,Maharashtra,Engineering,"3,02,000",--,8.2,8.5,6.8,8.6,8.3,8.3,8.7,SVKM's Narsee Monjee Institute of Management Studies,EXACT,False
"Amity University, Mumbai",Maharashtra,Engineering,"2,22,000","1,50,000",8.1,7.9,7.6,8.2,8.4,7.8,8.6,"Amity University, Mumbai",EXACT,False
"Vishwakarma Institute of Technology, Pune",Maharashtra,Engineering,"1,79,895","88,765",7.5,8.1,6.5,7.9,6.5,7.8,8.4,Vishwakarma Institute of Technology,EXACT,False
Indian Institute of Information Technology,Maharashtra,Engineering,"2,34,500","1,00,500",7.8,8.2,7.5,8,7.2,8.4,7.5,IIIT,EXACT,False
Tata Institute of Social Sciences,Maharashtra,Engineering,--,--,8.6,9,8.1,8.9,8.6,8.4,8.6,Tata Institute of Social Sciences,EXACT,False
Indian Institute of Technology,Uttar Pradesh,Engineering,"2,15,600","2,14,050",8.9,9.1,8.4,8.7,9.3,8.9,9.1,IIT,EXACT,False
Indian Institute of Technology,Uttar Pradesh,Engineering,"84,981","36,815",8.5,8.5,8.2,8.1,7.6,9.1,9.2,IIT,EXACT,False
"Amity University, Noida",Uttar Pradesh,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,"Amity University, Noida",EXACT,False
Aligarh Muslim University,Uttar Pradesh,Engineering,"2,69,445","4,30,970",8.3,8.8,7.9,8.5,8.8,7.2,8.6,Aligarh Muslim University,EXACT,False
MNNIT Allahabad,Uttar Pradesh,Engineering,"84,666","1,18,000",8,8.4,7.3,7.8,7.1,8.9,8.2,MNNIT Allahabad,EXACT,False
Jaypee Institute of Information Technology University,Uttar Pradesh,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,Jaypee Institute of Information Technology University,EXACT,False
Indian Institute of Information Technology,Uttar Pradesh,Engineering,"1,04,000","2,80,400",8.3,8.4,7.4,7.6,9,9.2,8.1,IIIT,EXACT,False
"Dayalbagh Educational Institute Faculty of Engineering, Agra",Uttar Pradesh,Engineering,"51,300","26,500",8,8.3,7.1,8.5,8.1,8.2,8,Dayalbagh Educational Institute Faculty of Engineering,EXACT,False
Sharda University,Uttar Pradesh,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,Sharda University,EXACT,False
Galgotias University,Uttar Pradesh,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,Galgotias University,EXACT,False
"Bennett University, Greater Noida",Uttar Pradesh,Engineering,"3,50,000","60,000",8.6,8.5,7.9,8.8,9.2,8.3,8.6,"Bennett University, Greater Noida",EXACT,False
Shiv Nadar University,Uttar Pradesh,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,Shiv Nadar University,EXACT,False
"Integral University, Lucknow",Uttar Pradesh,Engineering,"1,40,000","80,000",7.4,7.6,7.3,7.4,8,6.5,7.4,"Integral University, Lucknow",EXACT,False
J.S. University,Uttar Pradesh,Engineering,"47,500","13,500",8.5,8.5,7.8,8.7,9,8.2,8.6,J.S. University,EXACT,False
"GLA University, Mathura",Uttar Pradesh,Engineering,"1,78,000","75,000",8.2,8.2,7.9,8.3,8.3,8.2,8.1,"GLA University, Mathura",EXACT,False
Institute of Engineering and Technology,Uttar Pradesh,Engineering,"89,775","73,200",7.4,7.6,7.7,7,7.3,7,7.8,Institute of Engineering and Technology,EXACT,False
Sanskriti University,Uttar Pradesh,Engineering,"1,15,000","45,000",7,7.2,6.7,7,7.5,6.9,6.8,Sanskriti University,EXACT,False
"Monad University, Hapur",Uttar Pradesh,Engineering,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1,"Monad University, Hapur",EXACT,False
Indian Institute of Information Technology,Uttar Pradesh,Engineering,"2,18,700","2,18,700",7.8,7.6,7.2,7.4,6.8,9.4,8.1,IIIT,EXACT,False
"IFTM University, Moradabad",Uttar Pradesh,Engineering,"1,07,000","75,000",7.8,7.9,7.5,8.1,8,6.8,8.3,"IFTM University, Moradabad",EXACT,False
"Shobhit University, Meerut",Uttar Pradesh,Engineering,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9,"Shobhit University, Meerut",EXACT,False
"Glocal University, Saharanpur",Uttar Pradesh,Engineering,"1,44,000","94,000",7.1,7.5,6.9,7,6.7,7.2,7.3,"Glocal University, Saharanpur",EXACT,False
"Rama University, Kanpur",Uttar Pradesh,Engineering,"90,000","75,000",6.7,6.6,6.1,7.3,6.5,6.6,7.1,"Rama University, Kanpur",EXACT,False
Noida Institute of Engineering and Technology,Uttar Pradesh,Engineering,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1,Noida Institute of Engineering and Technology,EXACT,False
"ABES Engineering College, Ghaziabad",Uttar Pradesh,Engineering,"1,43,700","1,30,000",7.9,8.1,7.2,8.1,8.2,7.8,8,"ABES Engineering College, Ghaziabad",EXACT,False
Bundelkhand Institute of Engineering & Technology,Uttar Pradesh,Engineering,"61,800","59,300",7.1,7.3,7,6.9,7.4,6.2,8,Bundelkhand Institute of Engineering & Technology,EXACT,False
Harcourt Butler Technological University,Uttar Pradesh,Engineering,"1,35,000","83,300",7.3,7.5,6.9,7.4,6.5,7.8,7.8,Harcourt Butler Technological University,EXACT,False
Rajiv Gandhi Institute of Petroleum Technology,Uttar Pradesh,Engineering,"2,21,100","42,100",8.6,8.7,8.6,8.2,9.2,8.2,8.6,Rajiv Gandhi Institute of Petroleum Technology,EXACT,False
Indian Institute of Technology,Delhi,Engineering,"2,20,300","1,32,900",8.7,9,7.8,8.7,8.9,9,9,IIT,EXACT,False
"Jamia Millia Islamia University-[JMI], New Delhi",Delhi,Engineering,"16,150","8,970",8,8.4,7.6,8.3,8.4,7.2,8.2,Jamia Millia Islamia University-[JMI],EXACT,False
Delhi Technological University,Delhi,Engineering,"1,90,000","1,66,000",8.2,7.9,7.6,7.5,8.6,8.6,8.8,Delhi Technological University,EXACT,False
"Amity University, Noida",Delhi,Engineering,"3,11,000","1,40,000",8.2,8,7.9,8.1,8.9,7.6,8.7,"Amity University, Noida",EXACT,False
Indraprastha Institute of Information Technology,Delhi,Engineering,"3,60,000","1,00,000",8.7,8.8,8.7,8.9,8.9,8.6,8.2,Indraprastha Institute of Information Technology,EXACT,False
Guru Gobind Singh Indraprastha University,Delhi,Engineering,"1,17,200","23,000",7.8,8.1,7.5,8,8.1,6.9,8.1,Guru Gobind Singh Indraprastha University,EXACT,False
Jaypee Institute of Information Technology University,Delhi,Engineering,"2,36,500","1,20,000",7.8,7.8,7.7,7.3,8.2,7.8,7.7,Jaypee Institute of Information Technology University,EXACT,False
National Institute of Food Technology Entrepreneurship and,Delhi,Engineering,"1,71,550","1,52,950",8.1,8.5,7.1,6.9,9.4,8.5,7.9,National Institute of Food Technology Entrepreneurship and,EXACT,False
"School of Engineering and Technology, NCU",Delhi,Engineering,"2,60,000","82,000",9,9,--,--,9,--,--,School of Engineering and Technology,EXACT,False
"J.C. Bose University Of Science And Technology,",Delhi,Engineering,"83,625","83,625",7.3,7.7,6.5,7.4,6.6,7.7,7.6,J.C. Bose University Of Science And Technology,EXACT,False
Indira Gandhi Delhi Technical University For Women,Delhi,Engineering,"88,000","33,000",7.6,7.7,7,7.6,6.9,8.3,7.9,Indira Gandhi Delhi Technical University For Women,EXACT,False
Manav Rachna International Institute Of Research And,Delhi,Engineering,"1,81,500","1,16,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8,Manav Rachna International Institute Of Research And,EXACT,False
Sharda University,Delhi,Engineering,"1,63,770","97,850",7.9,7.7,7.6,7.9,8.6,6.9,8.6,Sharda University,EXACT,False
Galgotias University,Delhi,Engineering,"1,59,000","45,000",7.6,7.9,6.9,7.9,7.5,7.7,7.8,Galgotias University,EXACT,False
Netaji Subhas University of Technology,Delhi,Engineering,"1,90,000","1,20,000",7.8,7.9,7.1,7.6,7.6,8.9,7.9,Netaji Subhas University of Technology,EXACT,False
Shiv Nadar University,Delhi,Engineering,"2,00,000","1,60,000",9,8.8,8.7,8.8,9.6,8.5,9.4,Shiv Nadar University,EXACT,False
Manav Rachna International Institute of Research and,Delhi,Engineering,"1,81,500","1,65,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6,Manav Rachna International Institute of Research and,EXACT,False
National Institute of Technology,Delhi,Engineering,"96,866","1,98,500",6.8,7.3,6,7.1,6,7.6,6.8,NIT,EXACT,False
"Gurugram University, Gurgaon",Delhi,Engineering,"40,000",--,8.2,8.6,7.4,8.4,8.6,8,8.1,"Gurugram University, Gurgaon",EXACT,False
Chhotu Ram Rural Institute Of Technology,Delhi,Engineering,"33,450","33,450",8.4,8.7,8.1,8.4,8.7,8.1,8.2,Chhotu Ram Rural Institute Of Technology,EXACT,False
SunRise University,Delhi,Engineering,"72,200","32,200",8.1,8.1,7.3,8.7,8.1,7.9,8.4,SunRise University,EXACT,False
"Monad University, Hapur",Delhi,Engineering,"1,51,000","35,500",8,7.6,7.4,8.5,8,8.2,8.1,"Monad University, Hapur",EXACT,False
"Amity University, Gurgaon",Delhi,Engineering,"2,30,000","1,56,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1,"Amity University, Gurgaon",EXACT,False
"Shobhit University, Meerut",Delhi,Engineering,"1,11,200","1,22,400",7.8,8.4,7.3,7.8,8.3,7,7.9,"Shobhit University, Meerut",EXACT,False
Indraprastha Institute of Technology and Management,Delhi,Engineering,"1,25,000",--,8.3,8.3,8,8.7,7.8,8.7,8.5,Indraprastha Institute of Technology and Management,EXACT,False
Maharaja Agrasen Institute of Technology,Delhi,Engineering,"1,43,200",--,7.5,7.8,7.2,7.7,7.5,7.5,7.4,Maharaja Agrasen Institute of Technology,EXACT,False
Maharaja Surajmal Institute of Technology,Delhi,Engineering,"1,35,300",--,7.3,7.9,6.7,7.5,6.8,7.7,7.1,Maharaja Surajmal Institute of Technology,EXACT,False
Noida Institute of Engineering and Technology,Delhi,Engineering,"6,14,000","2,13,000",7.6,8.1,7.1,8,7.6,7.8,7.1,Noida Institute of Engineering and Technology,EXACT,False
K L University,Andhra Pradesh,Engineering,"2,50,000","1,45,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2,K L University,EXACT,False
"Andhra University, College of Engineering",Andhra Pradesh,Engineering,"10,000","1,09,000",7.7,8.2,6.9,7.8,8,7.2,7.9,Andhra University,EXACT,False
"Sri Venkateswara University College of Engineering, Tirupati",Andhra Pradesh,Engineering,"16,395","31,647",7.8,7.6,8.4,7.4,8.1,6.9,8.1,Sri Venkateswara University College of Engineering,EXACT,False
"Vignan’s Foundation for Science, Technology, and Research,",Andhra Pradesh,Engineering,"2,50,000","1,10,000",8.2,8.2,8.4,8.5,8.2,7.7,8.4,Vignan’s Foundation for Science,EXACT,False
"JNTUK University College of Engineering, Kakinada, East",Andhra Pradesh,Engineering,"10,000","30,000",7.7,8,7.1,7.8,8.2,7,8.3,JNTUK University College of Engineering,EXACT,False
Sree Vidyanikethan Engineering College,Andhra Pradesh,Engineering,"2,80,000","76,850",8.5,8.4,8.5,8.3,8.8,8.4,8.6,Sree Vidyanikethan Engineering College,EXACT,False
G. Pulla Reddy Engineering College,Andhra Pradesh,Engineering,"80,000","80,000",8.3,8.5,7.7,8.5,8.5,8.2,8.4,G. Pulla Reddy Engineering College,EXACT,False
Sri Venkateswara College of Engineering and Technology,Andhra Pradesh,Engineering,"89,350","75,000",7.9,8.3,7.9,8,8.2,7.3,7.5,Sri Venkateswara College of Engineering and Technology,EXACT,False
Velagapudi Ramakrishna Siddhartha Engineering College,Andhra Pradesh,Engineering,"71,050","70,000",8.2,8.6,7.6,8.4,8.4,8.2,8.1,Velagapudi Ramakrishna Siddhartha Engineering College,EXACT,False
Shri Vishnu Engineering College for Women,Andhra Pradesh,Engineering,"95,000","55,000",8.8,8.7,8.6,8.5,9.3,8.8,9,Shri Vishnu Engineering College for Women,EXACT,False
"JNTUA College of Engineering, Ananthapur",Andhra Pradesh,Engineering,"25,000","38,750",7,7.1,7.3,6.7,7.5,6.3,7.3,"JNTUA College of Engineering, Ananthapur",EXACT,False
Sagi Ramakrishnam Raju Engineering College,Andhra Pradesh,Engineering,"30,000","57,000",8.2,8.5,7.5,8.4,8.3,8.2,8.3,Sagi Ramakrishnam Raju Engineering College,EXACT,False
Gayatri Vidya Parishad College of Engineering,Andhra Pradesh,Engineering,"2,76,000","1,00,000",7.7,8.3,6.8,8,7.3,8.1,7.4,Gayatri Vidya Parishad College of Engineering,EXACT,False
Jawaharlal Nehru Technological University,Andhra Pradesh,Engineering,"1,00,000",--,7.4,7.7,6.8,7.1,7.7,7.1,7.8,Jawaharlal Nehru Technological University,EXACT,False
Indian Institute of Technology,Andhra Pradesh,Engineering,"16,950","78,218",8.6,9,8.1,8.8,8.7,8.2,8.9,IIT,EXACT,False
Prasad V. Potluri Siddhartha Institute of Technology,Andhra Pradesh,Engineering,"2,80,000","1,40,000",7.9,8.1,7.3,8.1,8.1,7.9,7.8,Prasad V. Potluri Siddhartha Institute of Technology,EXACT,False
Centurion University of Technology and Management,Andhra Pradesh,Engineering,"1,25,000","60,000",7.8,8,7.2,8.3,7.6,7.4,8.3,Centurion University of Technology and Management,EXACT,False
Aditya Engineering College,Andhra Pradesh,Engineering,"72,000","29,500",7.8,7.9,7.4,7.8,8.5,7.4,7.9,Aditya Engineering College,EXACT,False
Bapatla Engineering College,Andhra Pradesh,Engineering,"75,000","90,000",7.5,7.8,7.3,7.7,8.2,6.5,7.7,Bapatla Engineering College,EXACT,False
Gudlavalleru Engineering College,Andhra Pradesh,Engineering,"81,600","74,850",8.2,8.5,7.7,8.4,8.7,7.5,8.1,Gudlavalleru Engineering College,EXACT,False
Sri Venkateswara College of Engineering,Andhra Pradesh,Engineering,"80,000","75,000",8.3,8.3,8,8.1,9,7.8,8.5,Sri Venkateswara College of Engineering,EXACT,False
Sri Vasavi Engineering College,Andhra Pradesh,Engineering,"1,89,000","60,850",7.9,8.1,7.4,8,8.3,7.6,7.8,Sri Vasavi Engineering College,EXACT,False
Indian Institute of Information Technology Sri City,Andhra Pradesh,Engineering,"1,03,000","2,71,000",7,7.9,6.4,7.1,6.9,7.3,6.4,IIIT Sri City,EXACT,False
National Institute of Technology,Andhra Pradesh,Engineering,"1,87,500","1,00,000",7.2,7.9,6.6,7.5,6.9,6.9,7.2,NIT,EXACT,False
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT],",Andhra Pradesh,Engineering,"39,000","96,000",8.2,8.4,7.6,8.1,8.9,7.7,8.5,Rajiv Gandhi University of Knowledge Technologies -[RGUKT],EXACT,False
Raghu Engineering College,Andhra Pradesh,Engineering,"85,000","57,000",8.1,8.3,7.1,8.1,8.4,8.5,8,Raghu Engineering College,EXACT,False
Indian Institute of Information Technology Design and,Andhra Pradesh,Engineering,"1,44,600","67,500",7.4,7.9,7.6,8,6.7,7.2,7.2,IIIT Design and,EXACT,False
Rajeev Gandhi Memorial College of Engineering and,Andhra Pradesh,Engineering,"69,100","62,800",7.4,7.8,7.2,7.6,8,6.2,7.4,Rajeev Gandhi Memorial College of Engineering and,EXACT,False
VIT University,Andhra Pradesh,Engineering,"1,98,000","1,93,000",8.2,8.3,7.9,8.3,8.1,8.4,8.1,VIT University,EXACT,False
National Institute of Technology,Karnataka,Engineering,"1,52,730","1,00,355",8.4,8.7,7.2,8.2,8.4,8.9,8.9,NIT,EXACT,False
Manipal Institute of Technology,Karnataka,Engineering,"3,35,000","2,10,000",8.7,8.5,8.5,8.1,9.4,8.1,9.3,Manipal Institute of Technology,EXACT,False
R V College of Engineering,Karnataka,Engineering,"3,50,000","37,700",8.5,8.7,7.9,8.2,8.6,9,8.4,R V College of Engineering,EXACT,False
Ramaiah Institute of Technology,Karnataka,Engineering,"86,226","96,570",8.4,8.5,7.8,8.3,8.7,8.3,8.6,Ramaiah Institute of Technology,EXACT,False
International Institute of Information Technology,Karnataka,Engineering,"1,64,000","3,24,000",8.7,9.2,8.5,9.1,8.8,8.9,7.6,International Institute of Information Technology,EXACT,False
BMS College of Engineering,Karnataka,Engineering,"2,29,110","26,800",8.2,8.4,8,8,8,8.3,8.7,BMS College of Engineering,EXACT,False
Siddaganga Institute of Technology,Karnataka,Engineering,"79,475","92,975",7.8,8.1,7.2,7.7,8.1,8,7.6,Siddaganga Institute of Technology,EXACT,False
New Horizon College of Engineering,Karnataka,Engineering,"2,50,000","75,000",8,8,7.6,8.1,8.3,7.8,8.2,New Horizon College of Engineering,EXACT,False
"Faculty of Engineering and Technology, Jain University",Karnataka,Engineering,"1,97,500","85,000",8.1,8,7.9,8,8.3,7.7,8.5,Faculty of Engineering and Technology,EXACT,False
Sri Jayachamarajendra College of Engineering,Karnataka,Engineering,"4,75,000","1,40,000",8.3,8.4,7.6,7.8,8.5,8.7,8.6,Sri Jayachamarajendra College of Engineering,EXACT,False
Dayananda Sagar College of Engineering,Karnataka,Engineering,"96,106","2,92,720",8,8,7.4,7.7,8.8,7.7,8.3,Dayananda Sagar College of Engineering,EXACT,False
NMAM Institute of Technology,Karnataka,Engineering,"1,63,000","83,220",7.9,8,7.5,8.2,8.1,7.5,7.9,NMAM Institute of Technology,EXACT,False
Nitte Meenakshi Institute of Technology,Karnataka,Engineering,"58,806","65,390",7.8,8.1,7.1,7.9,7.8,7.6,8.1,Nitte Meenakshi Institute of Technology,EXACT,False
PES University,Karnataka,Engineering,"3,40,000","2,00,000",8,8.5,7.7,8.1,8.1,8.1,7.6,PES University,EXACT,False
BMS Institute of Technology and Management,Karnataka,Engineering,"3,50,000",--,7.9,8.2,7.7,8,7.7,7.9,7.7,BMS Institute of Technology and Management,EXACT,False
"KLE Technological University, Hubli",Karnataka,Engineering,"15,000","40,000",8.4,8.5,7.6,8.2,9.1,8.4,8.4,"KLE Technological University, Hubli",EXACT,False
Dr. Ambedkar Institute of Technology,Karnataka,Engineering,"30,200","37,500",7.2,7.7,6.8,7.5,7.5,6.7,7.2,Dr. Ambedkar Institute of Technology,EXACT,False
PES College of Engineering,Karnataka,Engineering,"76,800","74,450",7.7,7.9,6.7,7.7,8.5,7.3,8,PES College of Engineering,EXACT,False
CMR Institute of Technology,Karnataka,Engineering,"2,50,000","1,40,000",7.9,8.2,7.3,7.9,8.3,7.7,8,CMR Institute of Technology,EXACT,False
